symbol,side,threshold,variant,horizon,recorded,missing_exits,gap_qualified_n,gap_qualified_mean,n,mean,median,win_rate,pf
ETHUSDT,short,70,no_delta,60,0,0,0,,0,,,,
ETHUSDT,short,70,no_delta,240,0,0,0,,0,,,,
ETHUSDT,short,70,no_oi,15,0,0,0,,0,,,,
ETHUSDT,short,70,no_oi,30,0,0,0,,0,,,,
ETHUSDT,short,70,no_oi,60,0,0,0,,0,,,,
ETHUSDT,short,70,no_oi,240,0,0,0,,0,,,,
ETHUSDT,short,70,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,short,70,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,short,70,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,short,70,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,short,80,full,15,0,0,0,,0,,,,
ETHUSDT,short,80,full,30,0,0,0,,0,,,,
ETHUSDT,short,80,full,60,0,0,0,,0,,,,
ETHUSDT,short,80,full,240,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta,15,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta,30,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta,60,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta,240,0,0,0,,0,,,,
ETHUSDT,short,80,no_oi,15,0,0,0,,0,,,,
ETHUSDT,short,80,no_oi,30,0,0,0,,0,,,,
ETHUSDT,short,80,no_oi,60,0,0,0,,0,,,,
ETHUSDT,short,80,no_oi,240,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,short,80,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,short,90,full,15,0,0,0,,0,,,,
ETHUSDT,short,90,full,30,0,0,0,,0,,,,
ETHUSDT,short,90,full,60,0,0,0,,0,,,,
